produce,month
apple,1
avocado,4
avocado,5
avocado,6
avocado,7
avocado,8
avocado,9
strawberry,3
strawberry,4
strawberry,5
strawberry,6
strawberry,7
strawberry,8
blueberry,5
blueberry,6
blueberry,7
blueberry,8
raspberry,4
raspberry,5
raspberry,6
raspberry,7
raspberry,8
blackberry,5
blackberry,6
blackberry,7
blackberry,8
tomato,6
tomato,7
tomato,8
tomato,9
tomato,10
cherry tomato,6
cherry tomato,7
cherry tomato,8
cherry tomato,9
cherry tomato,10
heirloom tomato,7
heirloom tomato,8
heirloom tomato,9
spinach,1
spinach,2
spinach,3
spinach,4
spinach,10
spinach,11
spinach,12
kale,1
kale,2
kale,3
kale,4
kale,10
kale,11
kale,12
lettuce,1
lettuce,2
lettuce,3
lettuce,4
lettuce,5
lettuce,10
lettuce,11
lettuce,12
arugula,1
arugula,2
arugula,3
arugula,4
arugula,10
arugula,11
arugula,12
broccoli,1
broccoli,2
broccoli,3
broccoli,4
broccoli,10
broccoli,11
broccoli,12
cauliflower,1
cauliflower,2
cauliflower,3
cauliflower,4
cauliflower,10
cauliflower,11
cauliflower,12
cabbage,1
cabbage,2
cabbage,3
cabbage,4
cabbage,10
cabbage,11
cabbage,12
zucchini,5
zucchini,6
zucchini,7
zucchini,8
zucchini,9
cucumber,5
cucumber,6
cucumber,7
cucumber,8
cucumber,9
bell pepper,6
bell pepper,7
bell pepper,8
bell pepper,9
bell pepper,10
jalapeno,6
jalapeno,7
jalapeno,8
jalapeno,9
jalapeno,10
asparagus,3
asparagus,4
asparagus,5
asparagus,6
artichoke,3
artichoke,4
artichoke,5
carrot,1
carrot,2
carrot,3
carrot,4
carrot,5
carrot,6
carrot,7
carrot,8
carrot,9
carrot,10
carrot,11
carrot,12
olive,1
olive,2
olive,3
onion,1
onion,2
onion,3
onion,4
onion,5
onion,6
onion,7
onion,8
onion,9
onion,10
onion,11
onion,12
garlic,1
garlic,2
garlic,3
garlic,4
garlic,5
garlic,6
garlic,7
garlic,8
garlic,9
garlic,10
garlic,11
garlic,12
potato,1
potato,2
potato,3
potato,4
potato,5
potato,6
potato,7
potato,8
potato,9
potato,10
potato,11
potato,12
sweet potato,8
sweet potato,9
sweet potato,10
sweet potato,11
sweet potato,12
sweet potato,1
orange,1
orange,2
orange,3
orange,4
lemon,1
lemon,2
lemon,3
lemon,4
lemon,5
lemon,6
lemon,11
lemon,12
lime,6
lime,7
lime,8
lime,9
lime,10
grape,7
grape,8
grape,9
grape,10
apple,8
apple,9
apple,10
apple,11
pear,8
pear,9
pear,10
peach,5
peach,6
peach,7
peach,8
plum,5
plum,6
plum,7
plum,8
nectarine,5
nectarine,6
nectarine,7
nectarine,8
watermelon,6
watermelon,7
watermelon,8
watermelon,9
cantaloupe,6
cantaloupe,7
cantaloupe,8
cantaloupe,9
mango,6
mango,7
mango,8
pineapple,3
pineapple,4
pineapple,5
pineapple,6
pineapple,7
pineapple,8
fig,7
fig,8
fig,9
pomegranate,9
pomegranate,10
pomegranate,11
